period_end,county,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_ppsf,median_list_price,homes_sold,homes_sold_mom,homes_sold_yoy,median_dom,daily_cases,percentage_fully_vaccinated,risk_index,risk,cost_of_living_rank,tax_burden,medianage
2021-11-30,Nacogdoches County,Texas,TX,All Residential,-1,347500.0,-0.0608108108108108,162.69438444924407,529000.0,4.0,0.3333333333333332,,23.0,11845.0,0.469,3.0,Critical,30.0,8.19,35.0
2021-11-30,Turner County,Georgia,GA,All Residential,-1,30000.0,-0.625,20.0,,1.0,0.0,,259.0,2516.0,0.487,3.0,Critical,35.0,7.91,37.0
2021-11-30,Barnwell County,South Carolina,SC,All Residential,-1,217000.0,0.3562499999999999,101.38680033416875,184500.0,2.0,-0.3333333333333333,1.0,125.0,5759.0,0.55,3.0,Critical,40.0,7.45,39.0
2021-11-30,Little River County,Arkansas,AR,All Residential,-1,99000.0,-0.3907692307692307,49.32429222876687,,2.0,1.0,0.0,53.0,3196.0,0.388,3.0,Critical,20.0,8.8,38.0
2021-11-30,Johnston County,Oklahoma,OK,All Residential,-1,352500.0,0.9859154929577464,274.67373037130403,975000.0,2.0,-0.3333333333333333,0.0,68.0,2943.0,0.418,3.0,Critical,44.0,7.13,37.0
2021-11-30,Karnes County,Texas,TX,All Residential,-1,210000.0,-0.2222222222222222,122.3869308727878,219900.0,2.0,1.0,0.0,16.0,5169.0,0.562,3.0,Critical,30.0,8.19,35.0
2021-11-30,Yalobusha County,Mississippi,MS,All Residential,-1,91500.0,,115.82278481012658,78500.0,1.0,,,146.0,4032.0,0.645,3.0,Critical,15.0,8.99,38.0
2021-11-30,Grady County,Georgia,GA,All Residential,-1,225000.0,0.2441249654409731,134.81126423007788,,3.0,2.0,,54.0,5680.0,0.431,3.0,Critical,35.0,7.91,37.0
2021-11-30,Franklin County,Arkansas,AR,All Residential,-1,218500.0,0.5607142857142857,135.31912127908487,,4.0,3.0,3.0,64.0,3734.0,0.48,3.0,Critical,20.0,8.8,38.0
2021-11-30,Quitman County,Mississippi,MS,All Residential,-1,29500.0,,18.18742293464858,,1.0,,,25.0,1556.0,0.527,2.0,High,15.0,8.99,38.0
