period_end,county,state,state_code,median_ppsf,tax_burden,medianage,cost_of_living_rank,elementary_school_rating,middle_school_rating,high_school_rating,daily_cases,percentage_fully_vaccinated,risk_index,risk
2023-12-31,Stephens County,Oklahoma,OK,88.36083012192425,7.13,37.0,44.0,8,3,1,10966.0,47.5,0.0,Low
2023-12-31,Franklin County,Kentucky,KY,118.37445831298828,8.58,39.0,22.0,1,3,7,13722.0,61.3,1.0,Medium
2023-12-31,White County,Tennessee,TN,150.43359375,5.74,39.0,49.0,5,10,7,8225.0,42.4,0.0,Low
2023-12-31,Covington County,Mississippi,MS,71.26521301269531,8.99,38.0,15.0,1,6,4,7072.0,51.3,1.0,Medium
2023-12-31,Jackson County,Wisconsin,WI,98.6391763534557,8.89,40.0,17.0,2,8,6,5658.0,50.0,2.0,High
2023-12-31,Barnstable County,Massachusetts,MA,386.3989477539063,8.77,40.0,21.0,10,1,9,35384.0,,2.0,High
2023-12-31,Allendale County,South Carolina,SC,31.3310999454535,7.45,39.0,40.0,7,4,2,2080.0,58.3,1.0,Medium
2023-12-31,Wayne County,Missouri,MO,61.485313415527344,7.75,39.0,39.0,1,10,2,2400.0,36.3,4.0,Unknown
2023-12-31,Sevier County,Arkansas,AR,87.6769674274054,8.8,38.0,20.0,9,3,8,5927.0,45.6,0.0,Low
2023-12-31,Cortland County,New York,NY,103.7229239654541,12.79,39.0,1.0,6,9,9,10859.0,59.3,3.0,Critical
2023-12-31,Independence County,Arkansas,AR,99.50680720167988,8.8,38.0,20.0,7,2,8,10606.0,41.3,1.0,Medium
2023-12-31,Creek County,Oklahoma,OK,117.98173042297364,7.13,37.0,44.0,8,2,3,18158.0,43.6,1.0,Medium
2023-12-31,Charlton County,Georgia,GA,119.49015357971192,7.91,37.0,35.0,3,8,1,3055.0,25.2,2.0,High
2023-12-31,Lanier County,Georgia,GA,61.67014404296875,7.91,37.0,35.0,7,9,1,2267.0,27.0,1.0,Medium
2023-12-31,Camden County,Georgia,GA,146.3168487548828,7.91,37.0,35.0,5,7,7,11383.0,56.49999999999999,1.0,Medium
2023-12-31,Putnam County,Tennessee,TN,155.415576171875,5.74,39.0,49.0,6,10,3,25096.0,51.0,1.0,Medium
2023-12-31,Cook County,Illinois,IL,192.6889061852692,9.52,38.0,9.0,9,5,10,1140977.0,72.5,2.0,High
2023-12-31,Oakland County,Michigan,MI,181.04216385749123,8.34,40.0,24.0,5,2,4,287896.0,66.2,2.0,High
2023-12-31,Carver County,Minnesota,MN,179.59244537353516,9.99,38.0,6.0,4,8,4,26698.0,67.4,1.0,Medium
2023-12-31,Dorchester County,South Carolina,SC,163.1460273742676,7.45,39.0,40.0,8,5,5,55906.0,53.3,1.0,Medium
2023-12-31,Bronx County,New York,NY,366.04296875,12.79,39.0,1.0,10,10,1,397105.0,74.7,2.0,High
2023-12-31,Lawrence County,Mississippi,MS,76.71875,8.99,38.0,15.0,1,3,5,3585.0,55.400000000000006,1.0,Medium
2023-12-31,Ulster County,New York,NY,194.9401194763184,12.79,39.0,1.0,6,7,4,32179.0,72.6,2.0,High
2023-12-31,Quitman County,Georgia,GA,92.59725574493407,7.91,37.0,35.0,7,8,5,426.0,33.1,2.0,High
2023-12-31,Alexandria,Virginia,VA,397.7195275878906,7.86,38.0,37.0,9,7,6,,,,
2023-12-31,DeKalb County,Illinois,IL,122.16666412353516,9.52,38.0,9.0,6,9,3,23472.0,56.7,2.0,High
2023-12-31,Bath County,Kentucky,KY,86.58341936957186,8.58,39.0,22.0,7,3,7,3139.0,53.900000000000006,3.0,Critical
2023-12-31,Morgan County,Alabama,AL,123.35061210632324,7.45,39.0,40.0,3,2,5,36014.0,43.6,1.0,Medium
2023-12-31,Montgomery County,Maryland,MD,257.50736846923826,9.32,39.0,12.0,3,6,7,169395.0,86.7,2.0,High
2023-12-31,Humphreys County,Mississippi,MS,16.2829658066106,8.99,38.0,15.0,7,9,7,2030.0,58.6,2.0,High
2023-12-31,Wood County,Wisconsin,WI,98.47789916992188,8.89,40.0,17.0,1,1,1,20953.0,61.7,2.0,High
2023-12-31,Atoka County,Oklahoma,OK,129.88373613966542,7.13,37.0,44.0,1,10,9,3884.0,36.0,2.0,High
2023-12-31,Dimmit County,Texas,TX,91.69284057617188,8.19,35.0,30.0,6,5,9,5696.0,72.39999999999999,1.0,Medium
2023-12-31,Lincoln County,North Carolina,NC,175.6288502892267,8.07,39.0,34.0,6,9,4,24262.0,49.7,1.0,Medium
2023-12-31,Randolph County,Alabama,AL,121.7309657095775,7.45,39.0,40.0,8,6,5,5078.0,32.800000000000004,1.0,Medium
2023-12-31,Kent County,Maryland,MD,166.1933135986328,9.32,39.0,12.0,1,10,3,3052.0,65.3,1.0,Medium
